ano,delegacao,nivel_renda,media_gdp,total_medalhas,qtd_paises
1992,SUR,Média Renda,17455,1,1
2000,SUR,Média Renda,16220,0,1
2008,SUR,Média Renda,21515,0,1
2012,SUR,Média Renda,24193,0,1
2008,SVK,Média Renda,29544,10,1
2000,SVK,Média Renda,18335,6,1
1996,SVK,Média Renda,16737,3,1
2012,SVK,Média Renda,30894,5,1
2004,SVK,Média Renda,21842,10,1
2016,SVK,Média Renda,34116,8,1
2000,SWE,Média Renda,47875,32,1
1992,SWE,Média Renda,38789,35,1
1996,SWE,Média Renda,41014,31,1
2004,SWE,Média Renda,51967,12,1
2000,SWZ,Média Renda,6189,0,1
2016,SWZ,Média Renda,9629,0,1
1996,SWZ,Média Renda,5875,0,1
2004,SWZ,Média Renda,6820,0,1
2012,SWZ,Média Renda,8752,0,1
1992,SWZ,Média Renda,5364,0,1
2008,SWZ,Média Renda,7884,0,1
2016,SYR,Média Renda,5022,0,1
2000,SYR,Média Renda,7807,0,1
1992,SYR,Média Renda,6662,0,1
2008,SYR,Média Renda,8903,0,1
2004,SYR,Média Renda,8528,1,1
2012,SYR,Média Renda,7144,0,1
1996,SYR,Média Renda,7943,1,1
2004,THA,Média Renda,13997,8,1
1996,THA,Média Renda,12456,2,1
2012,THA,Média Renda,17869,3,1
2000,THA,Média Renda,11622,3,1
2008,THA,Média Renda,15891,4,1
1992,THA,Média Renda,9886,1,1
2016,THA,Média Renda,19370,6,1
2008,TKM,Média Renda,7944,0,1
2004,TKM,Média Renda,5360,0,1
2012,TKM,Média Renda,10794,0,1
1996,TKM,Média Renda,4712,0,1
2000,TKM,Média Renda,5112,0,1
2016,TKM,Média Renda,13552,0,1
2012,TLS,Média Renda,4299,0,1
2016,TLS,Média Renda,4517,0,1
1996,TTO,Média Renda,14857,2,1
2000,TTO,Média Renda,19662,2,1
1992,TTO,Média Renda,13285,0,1
2016,TTO,Média Renda,35955,1,1
2004,TTO,Média Renda,26792,1,1
2012,TTO,Média Renda,36950,10,1
2008,TTO,Média Renda,35871,6,1
2012,TUN,Média Renda,12436,3,1
1992,TUN,Média Renda,7241,0,1
2016,TUN,Média Renda,12803,3,1
2004,TUN,Média Renda,10263,0,1
2000,TUN,Média Renda,9134,0,1
1996,TUN,Média Renda,7821,1,1
2008,TUN,Média Renda,11990,1,1
2008,TUR,Média Renda,19516,7,1
