Ano-Calendário;Tipo de Formulário;Faixa de Rendimento;Quantidade de Declarantes;Rendimentos Tributáveis;Rendimentos sujeitos a Tributação Exclusiva;Rendimentos Isentos;Dedução Previdenciária Total;Deduções Previdência Oficial;Deduções Previdenciárias RRA;Deduções Previdência Privada e FAPI;Deduções com Dependentes;Deduções com Instrução;Deduções com despesas Médicas;Dedução de Livro Caixa;Deduções  com Pensão Alimentícia Total;Deduções com Pensão Alimentícia Judicial;Deduções com Pensão Alimentícia Escritural;Deduções com Pensão Alimentícia RRA;Desconto Padrão;Base de Cálculo (RTL);Imposto Devido;Dedução de Incentivo;Imposto Devido 1;Imposto Devido RRA;Imposto Devido Total;Imposto Pago;Imposto a Pagar;Imposto a Restituir;Dívidas   e Ônus;Doações e Heranças Recebidas;Bens e Direitos;Previdência Complementar (VGBL);Valores Pagos com Previdência Complementar (PGBL);Valores Pagos com Previdência Complementar de Natureza Pública;Valores Pagos com FAPI;Despesas com Instrução;Despesas Médicas;Pensão Alimentícia Judicial;Despesas com Pensão Alimentícia Escritural;Despesas com Profissionais Liberais;Despesas com Arrendamento Rural;Outras Despesas;Doações Efetuadas
2018;Completo + Simplificado;Até 22.847,76;11026712;194818,5703;57939,2348;386754,2607;6027,698021;5743,064103;9,335658;275,29826;6444,863981;2441,17916;11647,85315;1448,907501;2071,712967;1829,293747;234,1699296;8,24929015;23282,53826;141453,8173;3,53703437;0,00035007;3,5366843;193,9103012;196,9829044;2869,613127;20,32910731;2701,036103;198416,0042;38499,25877;2745433,394;20779,7541;791,1835966;13,21100102;248,2704377;7041,425576;20352,49554;2859,574993;400,7379739;2564,415521;130,8907411;5967,650902;15072,87237
2018;Completo + Simplificado;De 22.847,77 até 33.919,80;6851986;257075,5048;30366,866;86180,77376;10122,9054;9620,179244;8,6901218;494,0360351;8696,720808;4218,215596;11392,09704;1327,15618;1935,020697;1745,5761;186,0306052;3,4139917;29360,31046;190023,0786;2514,391146;0,18115923;2514,209987;55,94032216;2554,202926;10823,22571;453,7503335;8747,384567;71474,24837;7723,37588;867404,673;5810,247685;512,6959054;9,0036493;216,6569266;8002,594459;13454,22918;1796,560143;192,9423288;825,6680526;29,62361303;2021,898618;2491,343835
2018;Completo + Simplificado;De 33.919,81 até 45.012,60;3715748;193999,8165;24444,99388;62795,76751;7983,363169;7429,999239;5,8273304;547,5365997;4927,53662;3071,504258;8825,417059;1083,308687;1490,377109;1343,69444;144,5370682;2,14560089;21852,59964;144765,7099;5899,762596;0,82429717;5898,938299;56,77488461;5907,005231;9877,228348;1048,392739;5068,171374;56594,67894;5654,25905;645894,4698;4829,981277;564,8327339;10,40857859;226,3854756;6460,422599;10952,01347;1383,136561;150,3015477;682,4564618;24,74943223;1815,722254;2404,925562
2018;Completo + Simplificado;De 45.012,61 até 55.976,16;2289891;152368,8332;20145,35788;54384,10598;6068,273194;5535,831681;3,81921976;528,622293;3020,864874;2237,397678;6707,859074;911,9374593;1163,550279;1047,988786;114,3274154;1,23407792;17528,81782;114730,1328;8339,27715;1,5060442;8337,771106;51,49385212;8349,854873;9980,873155;1436,477823;3131,064952;48632,54585;4316,905185;543530,2231;4281,927145;534,9741435;11,17257629;214,8152078;5094,350297;8724,96353;1083,786411;118,6503811;559,9101828;25,28841328;1510,385336;2115,290183
2018;Completo + Simplificado;Acima de 55.976,16;6568080;1044918,607;170421,9877;354622,6252;58338,89424;44463,27743;32,2180889;13843,39872;10835,58949;9390,265352;45711,17141;14331,67272;8610,694844;7593,137575;1011,726744;5,83052503;45163,75143;852536,5679;165956,7246;196,6476354;165760,077;588,6151003;165853,1867;158388,938;18509,45297;12522,86079;308419,8688;38826,00982;4464993,567;42049,41852;12093,0809;445,1765131;3292,777366;30153,75648;53153,1923;7694,494929;1025,975122;4389,772151;179,2663849;14476,54933;23814,11817
2018;Completo;Até 22.847,76;4210097;78405,82406;34228,70434;189966,0579;6027,698021;5743,064103;9,335658;275,29826;6444,863981;2441,17916;11647,85315;1448,907501;2071,712967;1829,293747;234,1699296;8,24929015;0;48323,60928;3,08934606;0,00035007;3,08899599;120,3183447;123,3909478;1616,942417;13,57605457;1507,127523;95825,84179;19009,02671;1333046,413;11288,02188;553,8365189;1,22259808;174,2207247;5794,954268;15652,71486;2494,30358;342,6127189;1505,178336;80,17944128;4035,04587;9308,541785
2018;Completo;De 22.847,77 até 33.919,80;2616176;110273,88;14209,41849;36563,32967;10122,9054;9620,179244;8,6901218;494,0360351;8696,720808;4218,215596;11392,09704;1327,15618;1935,020697;1745,5761;186,0306052;3,4139917;0;72581,76426;964,4967526;0,18115923;964,3155934;28,83321877;977,4141199;2833,139579;117,3712145;1973,096674;29204,31208;3169,887743;351118,1488;2610,742016;417,7454709;2,96483688;172,9954946;7424,5722;11505,8195;1749,854376;186,4694605;384,7982478;15,23627787;1089,138022;1079,406508
2018;Completo;De 33.919,81 até 45.012,60;1472762;84736,777;11508,01166;28695,86523;7983,363169;7429,999239;5,8273304;547,5365997;4927,53662;3071,504258;8825,417059;1083,308687;1490,377109;1343,69444;144,5370682;2,14560089;0;57355,2701;2337,554948;0,82429717;2336,730651;27,09862879;2315,44246;4017,252304;283,0183218;1984,828166;25218,22012;2223,327698;288948,2225;2154,28981;461,66806;4,18763332;179,5763191;5834,864624;8929,253069;1347,136525;145,0195505;309,1190475;11,05065597;913,9516468;1338,236068
2018;Completo;De 45.012,61 até 55.976,16;891418;64724,7182;9099,765536;22717,43785;6068,273194;5535,831681;3,81921976;528,622293;3020,864874;2237,397678;6707,859074;911,9374593;1163,550279;1047,988786;114,3274154;1,23407792;0;44614,83564;3238,052334;1,5060442;3236,54629;22,6088699;3220,291984;4438,23342;405,8707293;1623,812166;20394,92992;1802,59189;223182,0658;1787,507487;430,1559968;4,45266009;165,3410958;4478,239749;6794,369581;1051,027001;114,6380315;240,317869;12,72779847;709,2812056;1075,812318
2018;Completo;Acima de 55.976,16;3793041;726464,7827;121440,6569;232022,4159;58338,89424;44463,27743;32,2180889;13843,39872;10835,58949;9390,265352;45711,17141;14331,67272;8610,694844;7593,137575;1011,726744;5,83052503;0;579246,4946;119749,9784;196,6476354;119553,3307;470,728175;119530,6378;118626,3813;10166,26916;9262,012624;204574,2132;24036,92514;3052871,827;28263,21678;11470,12549;386,8423301;3012,369974;28049,97826;47275,60711;7628,096947;1016,917835;2747,93384;98,75945236;10601,82365;15342,29617
